City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Orocue,CO,83.82,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
15,Bandarbeyla,SO,75.02,few clouds,9.4942,50.8122,JABIR HOTEL
17,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Wellington,NZ,78.46,moderate rain,-41.2866,174.7756,CityLife Wellington
26,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
28,Atuona,PF,78.87,few clouds,-9.8,-139.0333,Villa Enata
34,Souillac,MU,79.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Faanui,PF,80.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Dingle,PH,79.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
45,East London,ZA,76.57,overcast clouds,-33.0153,27.9116,Tu Casa
52,Mana,GF,77.79,broken clouds,5.6592,-53.7767,LE SAMANA
59,Inhambane,MZ,75.04,scattered clouds,-23.865,35.3833,Oceano
60,Kendari,ID,80.42,overcast clouds,-3.945,122.4989,Hotel Wixel
65,Rikitea,PF,78.35,broken clouds,-23.1203,-134.9692,People ThankYou
68,Nha Trang,VN,78.8,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
69,Carnarvon,AU,84.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
76,Hithadhoo,MV,82.38,clear sky,-0.6,73.0833,Scoop Guest House
79,Jizan,SA,77.94,few clouds,17.3333,42.6667,شهدان. ابوالحجر
80,Los Cordobas,CO,78.82,clear sky,8.894,-76.3546,Hospedaje SyS
84,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Na Klang,TH,76.8,broken clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
93,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Saint-Pierre,RE,80.24,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
99,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
103,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
105,Santiago Del Estero,AR,87.73,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
113,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
115,Poum,NC,80.85,scattered clouds,-20.2333,164.0167,Gîte kajeon
117,Tautira,PF,89.62,few clouds,-17.7333,-149.15,Pension Oaoa
124,Cancun,MX,75.13,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
125,Waingapu,ID,84.4,clear sky,-9.6567,120.2641,Pondok Wisata Elim
128,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
129,Port-Gentil,GA,80.91,moderate rain,-0.7193,8.7815,Fengshui Residence
133,Galesong,ID,80.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
134,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
135,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
136,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
138,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
141,Miandrivazo,MG,79.32,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
142,Carlagan,PH,77.5,light rain,14.975,122.0456,Cabatagan Island
147,Pilar,BR,76.93,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
148,Waipawa,NZ,75.83,light rain,-41.4122,175.5153,Tora Coastal Walk
