City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dombas,NO,62.0696,9.1235,5.72,99,91,2.53,overcast clouds
1,Fuxin,CN,42.0156,121.6589,13.01,47,0,7.61,clear sky
2,Ermelo,ZA,-26.5333,29.9833,54.54,71,10,3.4,clear sky
3,Newport Beach,US,33.6189,-117.9289,63.09,74,75,1.01,broken clouds
4,Khatanga,RU,71.9667,102.5,-37.68,99,20,2.37,few clouds
5,Tazovskiy,RU,67.4667,78.7,-9.94,100,90,4.65,overcast clouds
6,Barrow,US,71.2906,-156.7887,-16.58,69,0,10.36,haze
7,Butaritari,KI,3.0707,172.7902,82.0,77,18,11.72,light rain
8,Bluff,NZ,-46.6,168.3333,74.8,73,78,10.63,light rain
9,New Norfolk,AU,-42.7826,147.0587,63.66,41,58,1.99,broken clouds
10,Orocue,CO,4.7912,-71.3354,83.82,34,100,5.35,overcast clouds
11,Akdepe,TM,42.0551,59.3788,26.69,73,9,7.05,clear sky
12,Hasaki,JP,35.7333,140.8333,46.29,39,0,15.79,clear sky
13,Torbay,CA,47.6666,-52.7314,19.76,62,20,13.8,few clouds
14,Mataura,NZ,-46.1927,168.8643,74.48,89,94,1.95,overcast clouds
15,Bandarbeyla,SO,9.4942,50.8122,75.02,78,20,15.79,few clouds
16,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,21.85,scattered clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,75.54,96,100,3.0,overcast clouds
18,San Quintin,MX,30.4833,-115.95,59.0,68,40,11.27,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,70,40,37.98,scattered clouds
20,Kushima,JP,31.4583,131.2333,44.64,52,100,2.3,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,-27.58,87,0,4.61,clear sky
22,Mattru,SL,7.6244,-11.8332,72.54,98,75,0.43,broken clouds
23,Gwembe,ZM,-16.4975,27.6069,62.29,96,14,2.73,few clouds
24,Umm Lajj,SA,25.0213,37.2685,64.54,32,0,5.5,clear sky
25,Wellington,NZ,-41.2866,174.7756,78.46,63,67,3.0,moderate rain
26,Saint-Joseph,RE,-21.3667,55.6167,79.16,92,100,23.78,moderate rain
27,Camopi,GF,3.1655,-52.3158,71.51,99,100,2.51,light rain
28,Atuona,PF,-9.8,-139.0333,78.87,73,16,19.73,few clouds
29,Pringsewu,ID,-5.3582,104.9744,71.91,99,100,2.1,light rain
30,Bethel,US,41.3712,-73.414,34.16,72,100,0.0,overcast clouds
31,Santa Isabel,BR,-23.3156,-46.2214,71.37,96,100,1.19,overcast clouds
32,Poronaysk,RU,49.2167,143.1167,11.46,80,15,5.68,few clouds
33,Busselton,AU,-33.65,115.3333,73.04,47,85,18.66,overcast clouds
34,Souillac,MU,-20.5167,57.5167,79.36,94,75,25.32,light intensity shower rain
35,Faanui,PF,-16.4833,-151.75,80.94,76,11,19.86,few clouds
36,Avera,US,33.194,-82.5271,54.91,61,20,10.69,few clouds
37,Tasiilaq,GL,65.6145,-37.6368,12.36,74,100,4.74,overcast clouds
38,Clyde River,CA,70.4692,-68.5914,-21.77,76,0,5.75,clear sky
39,Dingle,PH,10.9995,122.6711,79.77,81,100,10.47,overcast clouds
40,Tsaratanana,MG,-16.7833,47.65,69.8,82,100,6.06,overcast clouds
41,Hobart,AU,-42.8794,147.3294,59.25,51,75,1.01,broken clouds
42,Esso,RU,55.9333,158.7,21.88,92,100,11.03,light snow
43,Longyearbyen,SJ,78.2186,15.6401,22.84,63,40,2.3,scattered clouds
44,Pacific Grove,US,36.6177,-121.9166,59.23,57,0,1.99,clear sky
45,East London,ZA,-33.0153,27.9116,76.57,74,100,5.35,overcast clouds
46,Ilo,PE,-17.6394,-71.3375,70.27,79,18,7.27,few clouds
47,Thaton,MM,16.9206,97.3714,64.31,82,1,3.71,clear sky
48,Pisco,PE,-13.7,-76.2167,69.85,73,0,17.27,clear sky
49,Vestmannaeyjar,IS,63.4427,-20.2734,37.65,71,100,11.9,overcast clouds
50,Srednekolymsk,RU,67.45,153.6833,-10.75,91,100,8.7,overcast clouds
51,Esperance,AU,-33.8667,121.9,69.64,51,30,17.0,scattered clouds
52,Mana,GF,5.6592,-53.7767,77.79,81,69,11.56,broken clouds
53,Ville-Marie,CA,47.3335,-79.433,33.8,89,100,16.49,overcast clouds
54,Hermanus,ZA,-34.4187,19.2345,67.89,82,5,4.36,clear sky
55,Coquimbo,CL,-29.9533,-71.3436,64.13,88,75,8.05,broken clouds
56,Cherskiy,RU,68.75,161.3,11.35,70,100,4.85,overcast clouds
57,Codrington,AU,-38.2667,141.9667,59.92,52,100,13.89,overcast clouds
58,Antofagasta,CL,-23.65,-70.4,67.28,83,10,4.43,clear sky
59,Inhambane,MZ,-23.865,35.3833,75.04,82,28,3.91,scattered clouds
60,Kendari,ID,-3.945,122.4989,80.42,83,100,1.52,overcast clouds
61,Cape Town,ZA,-33.9258,18.4232,68.11,86,20,1.01,few clouds
62,Thompson,CA,55.7435,-97.8558,-21.84,69,0,8.05,clear sky
63,Cabo San Lucas,MX,22.8909,-109.9124,72.52,53,0,7.0,clear sky
64,Chizhou,CN,30.6578,117.4831,35.47,98,100,9.22,overcast clouds
65,Rikitea,PF,-23.1203,-134.9692,78.35,70,72,6.04,broken clouds
66,Luderitz,NA,-26.6481,15.1594,63.68,91,67,7.87,broken clouds
67,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.4,77,40,10.36,scattered clouds
68,Nha Trang,VN,12.25,109.1833,78.8,82,13,5.3,few clouds
69,Carnarvon,AU,-24.8667,113.6333,84.27,70,97,13.8,overcast clouds
70,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,72.81,95,99,0.6,moderate rain
71,Lebu,CL,-37.6167,-73.65,58.98,94,5,10.25,clear sky
72,Oneonta,US,42.4529,-75.0638,30.31,69,97,9.37,overcast clouds
73,Nome,US,64.5011,-165.4064,19.47,53,0,34.52,clear sky
74,Mar Del Plata,AR,-38.0023,-57.5575,71.1,79,0,5.01,clear sky
75,Okhotsk,RU,59.3833,143.3,-0.81,77,15,17.2,few clouds
76,Hithadhoo,MV,-0.6,73.0833,82.38,72,6,12.35,clear sky
77,Husavik,IS,66.0449,-17.3389,12.11,82,87,11.52,overcast clouds
78,Sitka,US,57.0531,-135.33,33.69,64,100,16.11,light snow
79,Jizan,SA,17.3333,42.6667,77.94,77,13,4.34,few clouds
80,Los Cordobas,CO,8.894,-76.3546,78.82,83,4,9.13,clear sky
81,Bredasdorp,ZA,-34.5322,20.0403,73.4,78,6,1.61,clear sky
82,Petropavlovka,RU,50.6114,105.3196,-12.12,95,35,4.12,scattered clouds
83,Nanortalik,GL,60.1432,-45.2371,8.96,67,41,15.9,scattered clouds
84,Kapaa,US,22.0752,-159.319,79.12,67,0,1.99,clear sky
85,Basco,PH,20.4487,121.9702,74.34,72,18,17.72,few clouds
86,Na Klang,TH,17.3072,102.1889,76.8,72,73,3.24,broken clouds
87,Asfi,MA,32.2994,-9.2372,58.41,50,34,13.96,scattered clouds
88,Pimentel,PE,-6.8367,-79.9342,71.08,78,11,14.27,few clouds
89,Albany,US,42.6001,-73.9662,30.78,68,100,1.99,overcast clouds
90,Ilulissat,GL,69.2167,-51.1,3.22,55,100,4.61,overcast clouds
91,Fairbanks,US,64.8378,-147.7164,-3.01,76,0,0.0,clear sky
92,Merritt,CA,50.1123,-120.7942,27.43,88,45,4.29,scattered clouds
93,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,23.71,moderate rain
94,Te Anau,NZ,-45.4167,167.7167,66.43,97,100,5.3,light rain
95,Kodiak,US,57.79,-152.4072,38.71,87,100,5.75,mist
96,Shakhtinsk,KZ,49.71,72.5872,2.53,94,100,4.07,overcast clouds
97,Saint-Pierre,RE,-21.3393,55.4781,80.24,94,100,29.93,heavy intensity rain
98,Dryden,CA,49.7833,-92.7503,1.69,71,100,16.11,overcast clouds
99,Puerto Escondido,MX,15.85,-97.0667,79.63,73,20,16.11,few clouds
100,Emba,KZ,48.8264,58.1442,14.45,91,100,5.21,overcast clouds
101,Dunedin,NZ,-45.8742,170.5036,74.8,63,100,8.99,overcast clouds
102,Osypenko,UA,46.9136,36.8253,34.84,94,100,4.43,overcast clouds
103,Georgetown,MY,5.4112,100.3354,82.33,82,20,1.01,few clouds
104,Taoudenni,ML,22.6783,-3.9836,68.2,22,2,11.05,clear sky
105,Santiago Del Estero,AR,-27.7951,-64.2615,87.73,24,100,5.97,overcast clouds
106,Pangnirtung,CA,66.1451,-65.7125,-23.87,84,71,6.62,broken clouds
107,Kalaleh,IR,37.3807,55.4916,37.76,54,0,4.43,clear sky
108,Lishu,CN,43.3047,124.3278,8.08,57,0,10.31,clear sky
109,Ixtapa,MX,20.7,-105.2,74.43,53,0,9.22,clear sky
110,Jamestown,US,42.097,-79.2353,36.72,48,0,3.0,clear sky
111,Dikson,RU,73.5069,80.5464,2.43,94,100,16.96,overcast clouds
112,Lavrentiya,RU,65.5833,-171.0,1.58,81,1,15.43,clear sky
113,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,25.32,light intensity shower rain
114,Ponta Do Sol,PT,32.6667,-17.1,67.12,44,100,13.91,overcast clouds
115,Poum,NC,-20.2333,164.0167,80.85,74,45,11.41,scattered clouds
116,Tooele,US,40.5308,-112.2983,26.94,64,0,0.0,clear sky
117,Tautira,PF,-17.7333,-149.15,89.62,77,19,18.12,few clouds
118,Saldanha,ZA,-33.0117,17.9442,66.25,97,55,13.06,broken clouds
119,Mikkeli,FI,61.6886,27.2723,19.51,93,100,2.3,overcast clouds
120,Beloha,MG,-25.1667,45.05,71.06,85,0,12.15,clear sky
121,Hambantota,LK,6.1241,81.1185,70.14,100,20,5.75,few clouds
122,Ozernovskiy,RU,51.5,156.5167,28.4,77,99,5.3,overcast clouds
123,Ekibastuz,KZ,51.6667,75.3667,4.96,91,15,4.25,few clouds
124,Cancun,MX,21.1743,-86.8466,75.13,73,75,5.75,broken clouds
125,Waingapu,ID,-9.6567,120.2641,84.4,68,10,13.6,clear sky
126,Delijan,IR,33.9905,50.6838,28.8,92,63,5.32,broken clouds
127,Huejuquilla El Alto,MX,22.6,-103.8667,55.98,21,0,7.92,clear sky
128,Avarua,CK,-21.2078,-159.775,82.45,78,84,12.66,broken clouds
129,Port-Gentil,GA,-0.7193,8.7815,80.91,75,100,9.46,moderate rain
130,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.7,97,100,6.58,moderate rain
131,Sayyan,YE,15.1718,44.3244,52.36,41,10,6.35,clear sky
132,Aykhal,RU,66.0,111.5,-21.64,100,9,2.44,clear sky
133,Galesong,ID,-5.3166,119.3661,80.62,76,78,5.23,broken clouds
134,Mahebourg,MU,-20.4081,57.7,79.25,94,75,25.32,light intensity shower rain
135,Kralendijk,BQ,12.15,-68.2667,78.78,83,40,11.5,scattered clouds
136,Port Elizabeth,ZA,-33.918,25.5701,75.09,88,0,2.3,clear sky
137,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,81.7,53,100,5.3,overcast clouds
138,Touros,BR,-5.1989,-35.4608,77.9,77,42,9.46,scattered clouds
139,Mount Gambier,AU,-37.8333,140.7667,62.51,45,100,17.27,overcast clouds
140,Rafraf,TN,37.1904,10.1837,52.12,69,1,21.41,clear sky
141,Miandrivazo,MG,-19.5167,45.4667,79.32,77,100,2.82,overcast clouds
142,Carlagan,PH,14.975,122.0456,77.5,77,100,17.63,light rain
143,Salalah,OM,17.0151,54.0924,66.29,34,0,4.61,clear sky
144,Hereford,GB,52.0568,-2.7148,51.94,86,100,1.01,overcast clouds
